Namn;Märke;Typ;Pris;Förmånsvärde;Url
A8 50 TDI 286 hk quattro tiptronic;Audi;Elhybrid,Prisökning +0.18 %;1 053 900 kr;14 756 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a8-50-tdi-286-hk-quattro-tiptronic
A8 L 50 TDI 286 hk quattro tiptronic;Audi;Elhybrid,Prisökning +0.17 %;1 103 900 kr;15 396 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a8-l-50-tdi-286-hk-quattro-tiptronic
A8 60 TFSI e 462 hk quattro tiptronic;Audi;Laddhybrid,Prisökning +0.15 %;1 201 700 kr;14 886 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a8-60-tfsi-e-462-hk-quattro-tiptronic
A8 L 60 TFSI e 462 hk quattro tiptronic;Audi;Laddhybrid,Prisökning +0.14 %;1 251 700 kr;15 526 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a8-l-60-tfsi-e-462-hk-quattro-tiptronic
e-tron GT quattro 350 kW;Audi;El,Prisökning +0.21 %;1 177 800 kr;11 893 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-e-tron-gt-quattro-350-kw
Q2 30 TFSI 110 hk Proline;Audi;Bensin,Prisökning +1.67 %;279 300 kr;4 843 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q2-30-tfsi-110-hk-proline
Q2 35 TFSI 150 hk Proline;Audi;Bensin,Prisökning +1.67 %;298 000 kr;5 082 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q2-35-tfsi-150-hk-proline
Q2 30 TDI 116 hk Proline;Audi;Diesel,Prisökning +1.65 %;307 500 kr;5 204 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q2-30-tdi-116-hk-proline
Q2 35 TFSI 150 hk Proline advanced;Audi;Bensin,Prisökning +1.60 %;311 600 kr;5 256 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q2-35-tfsi-150-hk-proline-advanced
Q2 35 TFSI 150 hk S line;Audi;Bensin,Prisökning +1.54 %;322 400 kr;5 394 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q2-35-tfsi-150-hk-s-line
Q2 40 TFSI 190 hk quattro S tronic Proline advanced;Audi;Bensin,Prisökning +1.58 %;378 600 kr;6 114 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q2-40-tfsi-190-hk-quattro-s-tronic-proline-advanced
Q2 40 TFSI 190 hk quattro S tronic S line;Audi;Bensin,Prisökning +1.54 %;389 400 kr;6 252 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q2-40-tfsi-190-hk-quattro-s-tronic-s-line
Q3 35 TFSI 150 hk S tronic Proline advanced;Audi;Elhybrid,Prisökning +1.03 %;351 600 kr;5 768 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-35-tfsi-150-hk-s-tronic-proline-advanced
Q3 Sportback 35 TFSI 150 hk S tronic Proline;Audi;Bensin;402 300 kr;6 417 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-sportback-35-tfsi-150-hk-s-tronic-proline
Q3 40 TDI 200 hk quattro S tronic Proline advanced;Audi;Diesel,Prisökning +1.28 %;411 600 kr;6 536 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-40-tdi-200-hk-quattro-s-tronic-proline-advanced
Q3 40 TFSI 190 hk quattro S tronic Proline advanced;Audi;Bensin,Prisökning +1.25 %;414 400 kr;6 572 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-40-tfsi-190-hk-quattro-s-tronic-proline-advanced
Q3 Sportback 40 TDI 200 hk quattro S tronic Proline;Audi;Diesel;437 800 kr;6 871 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-sportback-40-tdi-200-hk-quattro-s-tronic-proline
Q3 Sportback 40 TFSI 190 hk quattro S tronic Proline;Audi;Bensin;437 800 kr;6 871 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-sportback-40-tfsi-190-hk-quattro-s-tronic-proline
Q3 40 TDI 200 hk quattro S tronic S line;Audi;Diesel,Prisökning +1.18 %;444 600 kr;6 958 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-40-tdi-200-hk-quattro-s-tronic-s-line
Q3 40 TFSI 190 hk quattro S tronic S line;Audi;Bensin,Prisökning +1.15 %;447 400 kr;6 994 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-40-tfsi-190-hk-quattro-s-tronic-s-line
Q3 Sportback 40 TDI 200 hk quattro S tronic S line;Audi;Diesel;482 100 kr;7 438 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-sportback-40-tdi-200-hk-quattro-s-tronic-s-line
Q3 Sportback 40 TFSI 190 hk quattro S tronic S line;Audi;Bensin,Prisökning +1.07 %;482 100 kr;7 438 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-sportback-40-tfsi-190-hk-quattro-s-tronic-s-line
Q3 45 TFSI e 245 hk S tronic Proline;Audi;Laddhybrid,Prisökning +1.21 %;494 900 kr;5 840 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-45-tfsi-e-245-hk-s-tronic-proline
Q3 Sportback 45 TFSI e 245 hk S tronic Proline;Audi;Laddhybrid,Prisökning +0.08 %;526 800 kr;6 249 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-sportback-45-tfsi-e-245-hk-s-tronic-proline
Q3 45 TFSI e 245 hk S tronic S line;Audi;Laddhybrid,Prisökning +1.11 %;536 600 kr;6 374 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-45-tfsi-e-245-hk-s-tronic-s-line
Q3 Sportback 45 TFSI 245 hk quattro S tronic S line;Audi;Bensin,Prisökning +1.15 %;545 400 kr;8 248 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-q3-sportback-45-tfsi-245-hk-quattro-s-tronic-s-line
