Namn;Märke;Typ;Pris;Förmånsvärde;Url
F-Type Coupe SWB 2.0 I4 300 PS RWD Auto R-Dynamic;Jaguar;Bensin;825 900 kr;11 838 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-coupe-swb-2-0-i4-300-ps-rwd-auto-r-dynamic
F-Type Convertible SWB 2.0 I4 300 PS RWD Auto R-Dynamic;Jaguar;Bensin;902 900 kr;12 824 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-convertible-swb-2-0-i4-300-ps-rwd-auto-r-dynamic
F-Type Coupe SWB 5.0 V8 S/C 450 PS RWD Auto 75;Jaguar;Bensin;1 216 900 kr;16 843 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-coupe-swb-5-0-v8-s-c-450-ps-rwd-auto-75
F-Type Coupe SWB 5.0 V8 S/C 450 PS AWD Auto 75;Jaguar;Bensin;1 282 900 kr;17 687 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-coupe-swb-5-0-v8-s-c-450-ps-awd-auto-75
F-Type Convertible SWB 5.0 V8 S/C 450 PS RWD Auto 75;Jaguar;Bensin;1 283 900 kr;17 700 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-convertible-swb-5-0-v8-s-c-450-ps-rwd-auto-75
F-Type Convertible SWB 5.0 V8 S/C 450 PS AWD Auto 75;Jaguar;Bensin;1 350 900 kr;18 558 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-convertible-swb-5-0-v8-s-c-450-ps-awd-auto-75
F-Type Coupe SWB 5.0 V8 S/C 575 PS AWD Auto R75;Jaguar;Bensin;1 502 900 kr;20 503 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-coupe-swb-5-0-v8-s-c-575-ps-awd-auto-r75
F-Type Convertible SWB 5.0 V8 S/C 575 PS AWD Auto R75;Jaguar;Bensin;1 562 900 kr;21 271 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-f-type-convertible-swb-5-0-v8-s-c-575-ps-awd-auto-r75
I-Pace EV400 SE;Jaguar;El;1 065 900 kr;10 461 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-i-pace-ev400-se
I-Pace EV400 HSE;Jaguar;El;1 141 900 kr;11 433 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-i-pace-ev400-hse
XE 2.0 D204 AWD R-Dynamic Black;Jaguar;Elhybrid;635 900 kr;9 407 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xe-2-0-d204-awd-r-dynamic-black
XE 2.0 P250 RWD R-Dynamic HSE;Jaguar;Bensin;672 900 kr;9 880 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xe-2-0-p250-rwd-r-dynamic-hse
XE 2.0 D204 RWD R-Dynamic HSE;Jaguar;Elhybrid;675 900 kr;9 919 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xe-2-0-d204-rwd-r-dynamic-hse
XE 2.0 D204 AWD R-Dynamic HSE;Jaguar;Elhybrid;701 900 kr;10 251 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xe-2-0-d204-awd-r-dynamic-hse
XF D200 RWD R-Dynamic Black;Jaguar;Elhybrid;720 900 kr;10 495 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-d200-rwd-r-dynamic-black
XF P250 AWD R-Dynamic Black;Jaguar;Bensin;734 900 kr;10 674 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-p250-awd-r-dynamic-black
XF D200 AWD R-Dynamic Black;Jaguar;Elhybrid;748 900 kr;10 853 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-d200-awd-r-dynamic-black
XF D200 RWD R-Dynamic HSE;Jaguar;Elhybrid;752 900 kr;10 904 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-d200-rwd-r-dynamic-hse
XF P250 RWD R-Dynamic HSE;Jaguar;Bensin;770 900 kr;11 134 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-p250-rwd-r-dynamic-hse
XF SB D200 RWD R-Dynamic Black;Jaguar;Elhybrid;776 900 kr;11 211 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-sb-d200-rwd-r-dynamic-black
XF D200 AWD R-Dynamic HSE;Jaguar;Elhybrid;781 900 kr;11 275 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-d200-awd-r-dynamic-hse
XF SB P250 RWD R-Dynamic Black;Jaguar;Bensin;786 900 kr;11 339 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-sb-p250-rwd-r-dynamic-black
XF SB D200 AWD R-Dynamic Black;Jaguar;Elhybrid;804 900 kr;11 570 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/jaguar-xf-sb-d200-awd-r-dynamic-black
Ceed 1.0 T-GDi Action;KIA;Bensin;230 300 kr;4 216 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ceed-1-0-t-gdi-action
Ceed 1.5 T-GDi DCT Advance Plus;KIA;Bensin;274 300 kr;4 779 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ceed-1-5-t-gdi-dct-advance-plus
Ceed SW 1.5 T-GDi DCT Advance;KIA;Bensin;301 300 kr;5 124 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ceed-sw-1-5-t-gdi-dct-advance
Ceed SW 1.5 T-GDi DCT GT Line;KIA;Bensin;331 300 kr;5 508 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ceed-sw-1-5-t-gdi-dct-gt-line
Ceed SW 1.6 DCT Plug-In Hybrid Action;KIA;Laddhybrid;388 800 kr;4 482 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ceed-sw-1-6-dct-plug-in-hybrid-action
Ceed SW 1.6 DCT Plug-In Hybrid Advance;KIA;Laddhybrid;403 800 kr;4 674 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ceed-sw-1-6-dct-plug-in-hybrid-advance
Ceed SW 1.6 DCT Plug-In Hybrid Advance Plus;KIA;Laddhybrid;428 800 kr;4 994 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ceed-sw-1-6-dct-plug-in-hybrid-advance-plus
e-Soul Advance;KIA;El;504 800 kr;4 529 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-e-soul-advance
e-Soul Advance Plus;KIA;El;528 800 kr;4 682 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-e-soul-advance-plus
EV6 RWD;KIA;El;639 900 kr;5 393 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ev6-rwd
EV6 AWD;KIA;El;674 900 kr;5 617 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ev6-awd
EV6 GT;KIA;El;819 600 kr;7 308 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-ev6-gt
Niro 1.6 141hk Hybrid Action;KIA;Elhybrid;341 400 kr;5 638 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-1-6-141hk-hybrid-action
Niro 1.6 141hk Hybrid Advance;KIA;Elhybrid;371 400 kr;6 022 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-1-6-141hk-hybrid-advance
Niro 1.6 141hk Hybrid Advance Plus;KIA;Elhybrid;391 400 kr;6 278 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-1-6-141hk-hybrid-advance-plus
Niro 1.6 183hk Plug-In Hybrid Action;KIA;Laddhybrid;418 900 kr;4 868 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-1-6-183hk-plug-in-hybrid-action
Niro 1.6 183hk Plug-In Hybrid Advance;KIA;Laddhybrid;448 900 kr;5 252 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-1-6-183hk-plug-in-hybrid-advance
Niro 1.6 183hk Plug-In Hybrid Advance Plus;KIA;Laddhybrid;468 900 kr;5 508 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-1-6-183hk-plug-in-hybrid-advance-plus
Niro EV 204hk Action;KIA;El;530 500 kr;4 693 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-ev-204hk-action
Niro EV 204hk Advance;KIA;El;560 500 kr;4 885 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-ev-204hk-advance
Niro EV 204hk Advance Plus;KIA;El;580 500 kr;5 013 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-niro-ev-204hk-advance-plus
Picanto 1.0 DPI 67hk Advance;KIA;Bensin;181 600 kr;3 592 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-picanto-1-0-dpi-67hk-advance
Picanto 1.0 DPI 67hk Advance AMT;KIA;Bensin;191 600 kr;3 720 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-picanto-1-0-dpi-67hk-advance-amt
Sorento 1.6 T-GDi Plug-In Hybrid AWD AUT Action 7-sits;KIA;Laddhybrid;605 100 kr;7 251 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sorento-1-6-t-gdi-plug-in-hybrid-awd-aut-action-7-sits
Sorento 1.6 T-GDi Plug-In Hybrid AWD AUT Advance 7-sits;KIA;Laddhybrid;635 100 kr;7 635 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sorento-1-6-t-gdi-plug-in-hybrid-awd-aut-advance-7-sits
Sorento 1.6 T-GDi Plug-In Hybrid AWD AUT Advance Plus 7-sits;KIA;Laddhybrid;665 100 kr;8 019 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sorento-1-6-t-gdi-plug-in-hybrid-awd-aut-advance-plus-7-sits
Sportage 1.6 T-GDi Hybrid AWD AUT Action;KIA;Elhybrid;406 100 kr;6 466 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-hybrid-awd-aut-action
Sportage 1.6 T-GDi Hybrid AWD AUT Advance utan Harman Kardon;KIA;Elhybrid;438 100 kr;6 875 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-hybrid-awd-aut-advance-utan-harman-kardon
Sportage 1.6 T-GDi Hybrid AWD AUT Advance;KIA;Elhybrid;443 100 kr;6 939 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-hybrid-awd-aut-advance
Sportage 1.6 T-GDi Hybrid AWD AUT GT Line;KIA;Elhybrid;467 100 kr;7 246 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-hybrid-awd-aut-gt-line
Sportage 1.6 T-GDi Plug-In Hybrid AWD AUT Action;KIA;Laddhybrid;469 900 kr;5 520 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-plug-in-hybrid-awd-aut-action
Sportage 1.6 T-GDi Plug-In Hybrid AWD AUT Advance utan Harman Kardon;KIA;Laddhybrid;501 900 kr;5 930 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-plug-in-hybrid-awd-aut-advance-utan-harman-kardon
Sportage 1.6 T-GDi Plug-In Hybrid AWD AUT Advance;KIA;Laddhybrid;506 900 kr;5 994 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-plug-in-hybrid-awd-aut-advance
Sportage 1.6 T-GDi Plug-In Hybrid AWD AUT GT Line;KIA;Laddhybrid;530 900 kr;6 301 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-sportage-1-6-t-gdi-plug-in-hybrid-awd-aut-gt-line
Stonic 1.0 T-GDi 120 hk 48V DCT Advance;KIA;Bensin;253 700 kr;4 515 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-stonic-1-0-t-gdi-120-hk-48v-dct-advance
Stonic 1.0 T-GDi 120 hk 48V DCT GT Line;KIA;Bensin;276 700 kr;4 810 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-stonic-1-0-t-gdi-120-hk-48v-dct-gt-line
XCeed 1.6 DCT Plug-In Hybrid Action;KIA;Laddhybrid;396 400 kr;4 580 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-xceed-1-6-dct-plug-in-hybrid-action
XCeed 1.6 DCT Plug-In Hybrid Advance;KIA;Laddhybrid;414 300 kr;4 809 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-xceed-1-6-dct-plug-in-hybrid-advance
XCeed 1.6 DCT Plug-In Hybrid Advance Plus;KIA;Laddhybrid;441 200 kr;5 153 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/kia-xceed-1-6-dct-plug-in-hybrid-advance-plus
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 200PS SE;Land Rover;Elhybrid;771 900 kr;11 147 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-200ps-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 250PS Hard Top SE;Land Rover;Elhybrid;800 900 kr;11 518 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-250ps-hard-top-se
Defender 90 2.0L T/C Petrol AWD 3 Door Auto 300PS SE;Land Rover;Bensin;819 900 kr;11 762 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-2-0l-t-c-petrol-awd-3-door-auto-300ps-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 200PS X-Dynamic SE;Land Rover;Elhybrid;823 900 kr;11 813 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-200ps-x-dynamic-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 250PS SE;Land Rover;Elhybrid;828 900 kr;11 877 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-250ps-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 200PS SE;Land Rover;Elhybrid;835 900 kr;11 966 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-200ps-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 250PS Hard Top X-Dynamic SE;Land Rover;Elhybrid;839 900 kr;12 018 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-250ps-hard-top-x-dynamic-se
Defender 90 2.0L T/C Petrol AWD 3 Door Auto 300PS X-Dynamic SE;Land Rover;Bensin;872 900 kr;12 440 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-2-0l-t-c-petrol-awd-3-door-auto-300ps-x-dynamic-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 300PS SE;Land Rover;Elhybrid;878 900 kr;12 517 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-300ps-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 250PS X-Dynamic SE;Land Rover;Elhybrid;883 900 kr;12 581 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-250ps-x-dynamic-se
Defender 110 2.0L T/C Petrol AWD 5 Door Auto 300PS SE;Land Rover;Bensin;884 900 kr;12 593 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-2-0l-t-c-petrol-awd-5-door-auto-300ps-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 250PS XS Edition;Land Rover;Elhybrid;886 900 kr;12 619 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-250ps-xs-edition
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 200PS X-Dynamic SE;Land Rover;Elhybrid;887 900 kr;12 632 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-200ps-x-dynamic-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 200PS X-Dynamic HSE;Land Rover;Elhybrid;892 900 kr;12 696 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-200ps-x-dynamic-hse
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 250PS SE;Land Rover;Elhybrid;893 900 kr;12 709 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-250ps-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 250PS Hard Top SE;Land Rover;Elhybrid;909 900 kr;12 913 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-250ps-hard-top-se
Defender 90 3.0L T/C Petrol  AWD 3 Door Auto 400PS SE;Land Rover;Elhybrid;912 900 kr;12 952 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0l-t-c-petrol-mhev-awd-3-door-auto-400ps-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 250PS XS Edition;Land Rover;Elhybrid;926 900 kr;13 131 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-250ps-xs-edition
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 300PS X-Dynamic SE;Land Rover;Elhybrid;932 900 kr;13 208 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-300ps-x-dynamic-se
Defender 110 2.0L T/C Petrol AWD 5 Door Auto 300PS X-Dynamic SE;Land Rover;Bensin;936 900 kr;13 259 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-2-0l-t-c-petrol-awd-5-door-auto-300ps-x-dynamic-se
Defender 90 2.0L T/C Petrol AWD 3 Door Auto 300PS X-Dynamic HSE;Land Rover;Bensin;941 900 kr;13 323 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-2-0l-t-c-petrol-awd-3-door-auto-300ps-x-dynamic-hse
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 300PS SE;Land Rover;Elhybrid;943 900 kr;13 349 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-300ps-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 250PS Hard Top X-Dynamic SE;Land Rover;Elhybrid;944 900 kr;13 361 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-250ps-hard-top-x-dynamic-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 250PS X-Dynamic SE;Land Rover;Elhybrid;945 900 kr;13 374 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-250ps-x-dynamic-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 250PS X-Dynamic HSE;Land Rover;Elhybrid;950 900 kr;13 438 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-250ps-x-dynamic-hse
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 200PS X-Dynamic HSE;Land Rover;Elhybrid;956 900 kr;13 515 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-200ps-x-dynamic-hse
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 300PS Hard;Land Rover;Elhybrid;959 900 kr;13 553 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-300ps-hard
Defender 90 3.0L T/C Petrol  AWD 3 Door Auto 400PS X-Dynamic SE;Land Rover;Elhybrid;964 900 kr;13 617 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0l-t-c-petrol-mhev-awd-3-door-auto-400ps-x-dynamic-se
Defender 90 3.0L T/C Petrol  AWD 3 Door Auto 400PS XS Edition;Land Rover;Elhybrid;973 900 kr;13 733 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0l-t-c-petrol-mhev-awd-3-door-auto-400ps-xs-edition
Defender 110 3.0L T/C Petrol  AWD 5 Door Auto 400PS SE;Land Rover;Elhybrid;975 900 kr;13 758 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0l-t-c-petrol-mhev-awd-5-door-auto-400ps-se
Defender 130 3.0 Litre T/C Petrol  AWD 5 Door Auto LWB 300PS SE;Land Rover;Elhybrid;979 900 kr;13 809 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-petrol-mhev-awd-5-door-auto-lwb-300ps-se
Defender 130 3.0 Litre T/C Diesel  AWD 5 Door Auto LWB 250PS SE;Land Rover;Elhybrid;988 900 kr;13 925 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-lwb-250ps-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 300PS Hard Top X-Dynamic SE;Land Rover;Elhybrid;994 900 kr;14 001 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-300ps-hard-top-x-dynamic-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 300PS X-Dynamic SE;Land Rover;Elhybrid;996 900 kr;14 027 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-300ps-x-dynamic-se
Defender 110 2.0L T/C 404PS Petrol PHEV AWD 5 Door Auto SE;Land Rover;Laddhybrid;998 900 kr;12 291 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-2-0l-t-c-404ps-petrol-phev-awd-5-door-auto-se
Defender 90 3.0 Litre T/C Diesel  AWD 3 Door Auto 300PS X-Dynamic HSE;Land Rover;Elhybrid;1 000 900 kr;14 078 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0-litre-t-c-diesel-mhev-awd-3-door-auto-300ps-x-dynamic-hse
Defender 110 3.0L T/C Petrol  AWD 5 Door Auto 400PS XS Edition;Land Rover;Elhybrid;1 011 900 kr;14 219 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0l-t-c-petrol-mhev-awd-5-door-auto-400ps-xs-edition
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 250PS X-Dynamic HSE;Land Rover;Elhybrid;1 013 900 kr;14 244 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-250ps-x-dynamic-hse
Defender 110 3.0L T/C Petrol  AWD 5 Door Auto 400PS X-Dynamic SE;Land Rover;Elhybrid;1 027 900 kr;14 424 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0l-t-c-petrol-mhev-awd-5-door-auto-400ps-x-dynamic-se
Defender 130 3.0 Litre T/C Petrol  AWD 5 Door Auto LWB 300PS X-Dynamic SE;Land Rover;Elhybrid;1 028 900 kr;14 436 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-petrol-mhev-awd-5-door-auto-lwb-300ps-x-dynamic-se
Defender 110 2.0L T/C 404PS Petrol PHEV AWD 5 Door Auto XS Edition;Land Rover;Laddhybrid;1 030 900 kr;12 700 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-2-0l-t-c-404ps-petrol-phev-awd-5-door-auto-xs-edition
Defender 90 3.0L T/C Petrol  AWD 3 Door Auto 400PS X-Dynamic HSE;Land Rover;Elhybrid;1 033 900 kr;14 500 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-90-3-0l-t-c-petrol-mhev-awd-3-door-auto-400ps-x-dynamic-hse
Defender 130 3.0 Litre T/C Diesel  AWD 5 Door Auto LWB 250PS X-Dynamic SE;Land Rover;Elhybrid;1 038 900 kr;14 564 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-lwb-250ps-x-dynamic-se
Defender 130 3.0 Litre T/C Diesel  AWD 5 Door Auto LWB 300PS SE;Land Rover;Elhybrid;1 038 900 kr;14 564 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-lwb-300ps-se
Defender 110 2.0L T/C 404PS Petrol PHEV AWD 5 Door Auto X-Dynamic SE;Land Rover;Laddhybrid;1 050 900 kr;12 956 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-2-0l-t-c-404ps-petrol-phev-awd-5-door-auto-x-dynamic-se
Defender 110 3.0 Litre T/C Diesel  AWD 5 Door Auto 300PS X-Dynamic HSE;Land Rover;Elhybrid;1 065 900 kr;14 910 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-300ps-x-dynamic-hse
Defender 130 3.0 Litre T/C Petrol  AWD 5 Door Auto LWB 400PS SE;Land Rover;Elhybrid;1 071 900 kr;14 987 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-petrol-mhev-awd-5-door-auto-lwb-400ps-se
Defender 130 3.0 Litre T/C Diesel  AWD 5 Door Auto LWB 300PS X-Dynamic SE;Land Rover;Elhybrid;1 087 900 kr;15 192 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-diesel-mhev-awd-5-door-auto-lwb-300ps-x-dynamic-se
Defender 130 3.0 Litre T/C Petrol  AWD 5 Door Auto LWB 300PS X-Dynamic HSE;Land Rover;Elhybrid;1 095 900 kr;15 294 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-130-3-0-litre-t-c-petrol-mhev-awd-5-door-auto-lwb-300ps-x-dynamic-hse
Defender 110 3.0L T/C Petrol  AWD 5 Door Auto 400PS X-Dynamic HSE;Land Rover;Elhybrid;1 095 900 kr;15 294 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/land-rover-defender-110-3-0l-t-c-petrol-mhev-awd-5-door-auto-400ps-x-dynamic-hse
